2022-07-27 10:00:06.392 [http-nio-29011-exec-4] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 129943
2022-07-27 10:00:06.502 [http-nio-29011-exec-4] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 130922
2022-07-27 10:00:06.569 [http-nio-29011-exec-4] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 131890
2022-07-27 10:00:06.666 [http-nio-29011-exec-4] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 132898
2022-07-27 10:00:06.748 [http-nio-29011-exec-4] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 133878
2022-07-27 10:03:06.100 [http-nio-29011-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 178491
2022-07-27 10:04:56.753 [http-nio-29011-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 109581
2022-07-27 14:42:35.613 [http-nio-29011-exec-10] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 362069
2022-07-27 14:42:35.753 [http-nio-29011-exec-10] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 363167
2022-07-27 14:42:35.905 [http-nio-29011-exec-10] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 364182
2022-07-27 14:42:36.035 [http-nio-29011-exec-10] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 365181
2022-07-27 14:42:36.195 [http-nio-29011-exec-10] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 366244
2022-07-27 15:39:21.292 [http-nio-29011-exec-3] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 3403874
