2022-07-29 11:15:17.570 [http-nio-29011-exec-7] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 102738
2022-07-29 11:15:17.659 [http-nio-29011-exec-7] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 103868
2022-07-29 11:15:17.752 [http-nio-29011-exec-7] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 104974
2022-07-29 11:15:17.825 [http-nio-29011-exec-7] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 106315
2022-07-29 11:15:17.911 [http-nio-29011-exec-7] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 107671
2022-07-29 11:22:40.957 [http-nio-29011-exec-1] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 442377
2022-07-29 11:28:11.096 [http-nio-29011-exec-7] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 231448
2022-07-29 11:28:11.186 [http-nio-29011-exec-7] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 290660
2022-07-29 11:28:11.277 [http-nio-29011-exec-7] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 291692
2022-07-29 11:28:11.365 [http-nio-29011-exec-7] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 292756
2022-07-29 11:28:11.495 [http-nio-29011-exec-7] ERROR com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://192.168.1.11:13307/ocss?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 293838
