2022-12-05 19:15:47.646 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid //转采购订单OA url
2022-12-05 19:15:48.129 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[cs-service-provider] & group[DEFAULT_GROUP]
2022-12-05 19:15:48.352 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[cs-service-provider.properties] & group[DEFAULT_GROUP]
2022-12-05 19:15:58.165 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CustomerMainMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2022-12-05 19:15:58.202 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CustomerInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2022-12-05 19:15:58.402 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CsOrderEngineerRelationMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2022-12-05 19:15:58.557 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CsOrderInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2022-12-05 19:15:58.561 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CsOrderInfoMapper.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2022-12-05 19:15:58.621 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CsOrderOtherRelationMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2022-12-05 19:16:04.354 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2022-12-05 19:16:04.362 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2022-12-05 19:18:51.848 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid //转采购订单OA url
2022-12-05 19:18:52.337 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[cs-service-provider-lhc] & group[DEFAULT_GROUP]
2022-12-05 19:18:52.563 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[cs-service-provider-lhc.properties] & group[DEFAULT_GROUP]
2022-12-05 19:19:00.692 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CustomerMainMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2022-12-05 19:19:00.739 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CustomerInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2022-12-05 19:19:00.978 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CsOrderEngineerRelationMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2022-12-05 19:19:01.169 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CsOrderInfoMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2022-12-05 19:19:01.173 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CsOrderInfoMapper.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2022-12-05 19:19:01.236 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.bairh.cs.interfaces.mapper.CsOrderOtherRelationMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2022-12-05 19:19:09.003 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2022-12-05 19:19:09.014 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
